Project Name,Type,Sector,Sub-Sector,Location,Project Authority,Status,Total Project Cost (in Rs Crore),Date Of Award
Road Upgradation Project (Semaria-Manikpur) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,34.84,22-Mar-2011
Road Upgradation Project (Sitamau-Basai-Suwasara) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,54.26,12-May-2011
Road Upgradation Project (Thandla-Limdi-Gujarat Border) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,56.16,19-Apr-2011
Road Upgradation Project (Tikamgarh-Orchha) Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Under Construction,47.56,11-Nov-2014
Sagar-Damoh Road Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,130.30,07-Aug-2009
Satna-Maihar-Umaria Road Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,53.30,15-Sep-2002
Sehora-Majhgawan,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,92.65,12-Nov-2012
Silwali-Sultanganj-Jaisingh Nagar Sagar,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,121.00,08-Sep-2011
Strengthening of Chandpur-Alirajpur-Kukshi-Badwani State Highways in Madhya Pradesh,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,144.00,30-Jun-2007
Strengthening of Mandsaur-Sitamau Road (Upto Rajasthan Border) State Highway in Madhya Pradesh,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,42.30,10-Jul-2007
Strengthening of Matkuli-Tamia-Chindwara State Highways in Madhya Pradesh,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,213.30,30-Jun-2007
Suraiya - Padariya - Dhamni - Singori,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,25.00,Not Available
Two laning of Ashoknagar-Vidisha,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,87.06,22-Mar-2013
Two laning of Betul-Sarni-Tikadhan-Junnardeo-Parasia section of SH 43 in MP on BOT(Toll),Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,238.00,20-May-2013
Two laning of Bina-Kurwal-Sironj,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,107.00,23-Nov-2010
Two laning of Damoh - Katni section of SH-14 with NH-7 at km 366.1 under DBFOT (Toll),Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,272.07,04-Jun-2013
Two laning of Guna-Ashoknagar-Ishagarh Project (SH 20) on BOT basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Under Construction,105.10,05-Nov-2012
Two laning of Hata-Fatehpur-Bajna-Dargawon road in length of 64.4 km,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Under Construction,74.25,01-Nov-2015
Two laning of Jhabua-Jobat-Zeerpanya-Bagh-Kukshi section of SH 39 in MP on BOT(Toll),Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,158.00,23-May-2011
Two laning of Jhansi-Bilua to Ghongha Road,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Pre-construction Stage,67.38,30-Jun-2017
Two laning of Khandwa-Dehtala-Burhanpur section of SH 50 in MP on BOT (Toll),Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,224.40,28-Jul-2011
Two laning of Ratlam-Sailana-Banswada-section (MP - Rajasthan Border) at km 42.6 on SH-39 under DBFOT (Toll),Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,118.00,17-May-2013
Two laning of Rau-Mhow-Jamghat-Mandleshwar section of SH 38 in MP on BOT(Toll),Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Under Construction,176.06,28-Jul-2011
Two laning of Satna-Majhgawan,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,121.78,Not Available
Two laning of Ujjain Unhel Nagda Jawra Road,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,189.05,06-May-2010
Two laning with granular shoulder from km 0.00 to km 38.00 of Lakhnadon-Ghansore section of SH 40 on DBFOT (Toll) basis,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,79.00,22-Sep-2011
Upgradation of Bameetha-Panna-Nagod-Satna road on NH-75 in length of 97.6 km,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Under Construction,275.60,20-Jan-2012
Upgradation of Hoshangabad-Harda-Khandwa road in length of 185.6 km in Khandwa & Hoshangabad,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,81.00,20-May-2002
Upgradation of Indore-Edalabad road in length of 203 km,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Completed,124.00,22-Sep-2001
Upgradation of Nagda-Gogapur (Mahidpur) road in length of 15 km in Ujjain and Aurangabad,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,40.58,15-Oct-2013
Upgradation of Seoni-Balaghat-Gondia road in length of 114 Km in Seoni &  Balaghat districts,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,59.80,18-Nov-2002
Upgradation of Tikamgarh-Jatara-Palera-Nowgaon road in length of 76.4 km in Tikamgarh district,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,107.34,12-Nov-2013
Upgradation of Uchera-Nagod-Singhpur-Kalinjer road in length of 55.6 km in Raisen district,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,115.20,24-Sep-2012
Upgradation of Ujjain-Jhalawad road in length of  134 Km in Shajapur district,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Completed,66.70,16-Nov-2001
Upgradation of Umari-Phoop-Pratappura road in length of 43.39 km in Madhya Pradesh,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Madhya Pradesh Road Development Corporation Limited (MPRDC),Operation and Maintenance Stage,75.29,22-Dec-2011
Electricity Distribution Ahmedabad city,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Gujarat,Torrent Power Limited (Ahmedabad),Operation and Maintenance Stage,"4,632.54",Not Available
Electricity Distribution Ajmer city,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Rajasthan,Ajmer Vidyut Vitran Nigam Limited (AVVNL,Operation and Maintenance Stage,208.10,Not Available
Electricity Distribution Bhagalpur city,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Bihar,Bhagalpur Electricity Distribution Company Ltd ,Operation and Maintenance Stage,12.20,Not Available
Electricity Distribution Bharatpur city,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Rajasthan, Jaipur Vidyut Vitaran Nigam Limited (JVVNL,Operation and Maintenance Stage,66.91,Not Available
Electricity Distribution Bikaner city,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Rajasthan, Jodhpur Vidyut Vitaran Nigam Limited (JVVNL,Not Available,97.15,Not Available
Electricity Distribution Delhi (TPDDL),Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Delhi (UT),Tata Power Delhi Distribution Limited (TPDDL),Operation and Maintenance Stage,"5,836.02",Not Available
Electricity Distribution Delhi city (BYPL),Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Delhi (UT),BSES YAMUNA POWER LIMITED (BYPL),Operation and Maintenance Stage,"3,080.50",Not Available
Electricity Distribution Gaya city,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Bihar,South Bihar Power Distribution Company Ltd,Operation and Maintenance Stage,366.86,Not Available
"Electricity Distribution in various parts of Odisha (Khurda, Balugaon, Puri and Nayagarh)",Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Odisha,Orissa Electricity Regulatory Commission,Operation and Maintenance Stage,80.47,Not Available
Electricity Distribution Jamshedpur city,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Jharkhand,Jamshedpur Utility Services Company Limited(JUSCO),Operation and Maintenance Stage,181.43,Not Available
Electricity Distribution Kota city,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Rajasthan, Jaipur Vidyut Vitaran Nigam Limited (JVVNL,Operation and Maintenance Stage,252.83,Not Available
Electricity Distribution Muzaffarpur city,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Bihar, North Bihar Power Distribution Company Ltd (NBPDCL),Operation and Maintenance Stage,70.96,Not Available
Electricity Distribution Nagpur City,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Maharashtra,Maharashtra State Electricity Distribution Company Limited,Operation and Maintenance Stage,652.29,Not Available
Electricity Distribution Nagpur city,Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Maharashtra,Maharashtra State Electricity Distribution Company Limited,Operation and Maintenance Stage,293.67,Not Available
Electricity Distribution New Delhi city (BRPL),Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Delhi (UT),BSES RajdhaniPowerLimited (BRPL),Operation and Maintenance Stage,"6,021.00",Not Available
Electricity Distribution Noida city (NPCL),Government Infrastructure Projects (PPP),Energy,Electricity Distribution,Uttar Pradesh,NOIDA POWER COMPANY LIMITED (NPCL),Operation and Maintenance Stage,"1,457.10",Not Available
Delhi Metro Rail Project - Phase III,Government Infrastructure Projects (Traditional Procurement),Transport,Urban public transport (except rolling stock),Multi State/ Centre,Delhi Metro Rail Corporation Limited,Operation and Maintenance Stage,"41,079.00",30-Sep-2011
Ambala - Zirakpur,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Multi State/ Centre,National Highways Authority of India (NHAI),Operation and Maintenance Stage,298.00,Not Available
Khambatki Ghat Project,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Maharashtra,National Highways Authority of India (NHAI),Operation and Maintenance Stage,45.00,Not Available
Kishangarh Gulabpura NH 79 Project ROB,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Maharashtra,National Highways Authority of India (NHAI),Completed,16.66,Not Available
Ulundurpet - Padalur (Pkg - VI-B),Government Infrastructure Projects (PPP),Transport,Roads and bridges,Tamil Nadu,National Highways Authority of India (NHAI),Operation and Maintenance Stage,748.00,Not Available
Badnagar - Sundarawad - Kharsodkalan - Unhel,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Not Available,Not Available,141.00,Not Available
Bichhiya - Shamnapur - Dindori,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Madhya Pradesh,Not Available,Not Available,84.00,Not Available
Construction of 17 km long four lane Laddowal Bypass  in Ludhiana district,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Punjab,National Highways Authority of India (NHAI),Under Construction,392.00,30-Jul-2016
Delhi-Meerut Expressway Project [Package-III],Government Infrastructure Projects (PPP),Transport,Roads and bridges,Uttar Pradesh,National Highways Authority of India (NHAI),Under Construction,"1,058.00",28-Dec-2015
Development of Delhi-Meerut Expressway in length of 8.7 Km in Delhi,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Delhi (UT),National Highways Authority of India (NHAI),Under Construction,841.50,30-Dec-2015
Four laning of Bhavnagar-Talaja road in length of 46.5 km in Bhavnagar under NHDP-IV,Government Infrastructure Projects (PPP),Transport,Roads and bridges,Gujarat,National Highways Authority of India (NHAI),Pre-construction Stage,998.18,19-Jul-2016
